V1,V2,V3,V4,V5,V6
10041.208984375,10246.159,10562.418,10846.875,11173.734,11376.918
6257.083984375,6509.703,6927.905,7299.4033,7838.6074,8231.335
6264.51171875,6517.4414,6936.157,7308.1133,7847.98,8241.19
7148.3095703125,7170.0044,7215.9844,7355.219,7316.525,7353.6
2506.57275390625,2522.6067,2547.6353,2573.2893,2608.1726,2627.1006
18535.748046875,18683.754,18905.418,19127.08,19391.129,19523.154
8176.0439453125,8228.277,8307.802,8396.423,8492.087,8517.91
17281.060546875,17886.1,19046.672,20185.244,21785.844,23023.422
18459.5625,19422.652,21073.664,22990.672,25540.566,27760.262
8450.716796875,8900.9375,9856.671,10642.584,11657.557,12490.861
2617.67431640625,2747.9932,3005.2607,3233.3184,3540.017,3787.1733
11542.3564453125,12191.697,13362.7295,14494.913,16059.989,17336.47
2072.728515625,2143.615,2269.3613,2392.026,2568.9338,2706.3918
10019.025390625,10175.389,10462.235,10773.883,11048.867,11025.143
9989.80078125,10072.34,10250.174,10396.493,10563.822,10698.887
10007.5419921875,10185.959,10504.448,10783.029,11083.5205,11288.543
9877.4560546875,9862.274,10104.147,10303.581,10429.866,10591.346
10030.2744140625,10709.342,11685.502,12376.697,12219.057,12186.719
9998.802734375,10339.08,10977.755,11578.04,12105.033,12401.686
13089.017578125,13338.444,13978.39,14487.322,15119.708,15651.316
10159.6689453125,10485.561,11328.848,11990.711,12632.414,13314.436
10106.6064453125,10342.898,10805.299,11214.736,11760.654,12216.943
10076.083984375,10177.281,10280.152,10369.328,10332.502,10305.109
10181.2392578125,10280.719,10328.161,10400.288,10311.272,10298.489
10092.6201171875,10290.796,10527.006,10779.2295,11072.489,11200.603
10051.0390625,10069.257,10128.738,10281.723,10233.874,10284.205
10161.796875,10307.49,10626.042,10871.042,10802.359,10897.183
10225.90234375,10487.572,10903.1,11302.905,11913.844,12381.031
10185.4619140625,10247.672,10235.533,10355.4,10655.066,11013.15
9960.9189453125,10078.892,10095.268,10234.896,10194.926,10660.3545
10005.517578125,10001.281,10000.718,10096.623,10091.526,10260.359
10153.6318359375,10203.118,10279.0625,10428.991,10642.615,10792.543
10085.125,10232.804,10608.284,10942.918,11390.666,11714.302
9691.482421875,9969.668,10396.493,10791.953,11119.231,11269.233
5099.83447265625,5561.387,5709.4126,5957.4883,5597.4126,5969.6157
4036.34912109375,3936.602,4094.2024,4393.4434,4497.1807,5196.407
4422.5263671875,4570.3506,4792.399,4990.7456,5287.6416,5505.9473
11249.2119140625,11725.885,12147.471,12507.898,12070.686,12114.419
9360.8310546875,9656.034,10107.68,10518.515,10877.654,11078.991
3724.00537109375,3722.3933,3733.3984,3751.601,3748.4568,3751.8223
1577.1380615234375,1610.1921,1652.9526,1697.0247,1766.8055,1831.602
2573.31591796875,2572.09,2656.3098,2746.3076,2775.023,2692.5542
9917.640625,10138.776,10641.528,10950.971,10805.525,11099.385
9277.5302734375,9625.837,9807.112,10064.781,9814.881,10224.044
992.2603759765625,1222.5249,1343.5504,1499.346,1248.0265,1295.4938
6087.53173828125,6257.0664,6445.764,6569.957,6447.2305,6894.157
7949.0419921875,8029.285,8193.825,8369.712,8586.127,8783.898
1854.979248046875,1995.7764,2079.515,2226.5198,2094.8362,2171.4426
8096.04248046875,8111.7188,8118.0464,8182.215,8151.193,8161.6753
6736.6943359375,6745.655,6761.731,6790.194,6776.138,6786.9434
6556.74462890625,6564.6426,6572.6826,6638.2847,6649.598,6719.469
7343.99365234375,7414.1177,7484.72,7547.1855,7603.189,7655.363
6415.69140625,6424.2217,6452.099,6482.511,6496.605,6484.4893
8751.958984375,8818.436,8848.697,8880.949,8816.361,8870.96
8132.642578125,8168.4673,8208.476,8257.637,8306.013,8313.597
8288.2421875,8227.833,8266.38,8344.048,8359.006,8581.655
1658.8175048828125,1684.9314,1722.4047,1854.3472,1869.2267,1999.2468
8986.7353515625,9041.87,9141.001,9215.606,9158.506,9180.036
3662.29052734375,3680.8845,3773.4014,3869.0928,4009.6821,4095.8499
1782.53173828125,1818.8242,1821.6963,1832.4012,1870.652,1940.3647
2115.69677734375,2102.8801,2112.1157,2148.021,2142.3667,2148.6807
2148.451171875,2182.04,2230.058,2276.657,2322.3098,2340.0505
3090.2197265625,3103.731,3163.2534,3298.913,3281.2024,3353.323
1316.9715576171875,1279.6487,1293.0466,1470.8091,1482.293,1601.6786
2485.33984375,2537.792,2584.121,2657.2114,2579.8606,2610.1543
2017.433837890625,2052.2002,2059.0435,2082.384,2065.276,2119.5984
2659.083740234375,2682.246,2671.4583,2742.3728,2769.0254,2932.5198
1310.756103515625,1319.8999,1325.8187,1385.5153,1392.1779,1471.394
1798.1650390625,1811.0457,1818.2367,1823.5707,1813.9037,1836.7064
1964.798828125,1919.9746,1923.073,1996.2997,2001.3605,2044.9453
1612.0150146484375,1621.25,1625.2416,1639.72,1627.3,1639.268
2173.135498046875,2168.5774,2171.4155,2228.824,2207.1936,2246.1538
2092.606689453125,2213.1333,2281.7896,2412.8418,2367.6443,2596.6929
1757.0269775390625,1800.1741,1803.1976,1875.1504,1913.8644,2083.409
2464.3994140625,2488.0183,2501.096,2519.6929,2512.806,2553.6763
1874.722900390625,1931.2156,1965.3529,1996.1672,2041.1802,2240.5664
3965.1259765625,4026.144,4081.7837,4264.652,4302.858,4631.502
2265.541259765625,2279.65,2285.4966,2325.2805,2354.006,2506.2773
2379.375244140625,2401.0857,2439.441,2487.9275,2556.9185,2610.2297
2541.228759765625,2576.142,2677.7563,2754.8787,2874.7312,3038.877
8038.76904296875,8020.167,8058.2036,8156.2104,8146.771,8198.412
4508.44091796875,4483.668,4571.8545,4803.929,4814.4463,4898.1143
7027.0185546875,7009.4937,7031.6577,7133.8423,7101.241,7131.394
9485.0283203125,9484.643,9535.433,9617.895,9724.883,9797.882
3656.92236328125,3600.5247,3658.4888,3774.9395,3756.6626,3927.4219
6806.046875,6803.819,6815.4766,6864.398,6852.4277,6864.057
8277.419921875,8325.334,8358.435,8388.13,8338.75,8347.961
7242.07568359375,7237.4023,7235.287,7248.6426,7257.7676,7284.46
4760.259765625,4988.991,5228.3887,5500.9697,5934.729,6195.459
10579.2333984375,10855.428,11407.814,11879.939,12503.146,13015.402
8324.966796875,8567.03,9025.898,9470.031,10034.144,10545.633
3228.57373046875,3344.8025,3642.3726,3885.784,4157.1875,4377.4746
3289.71630859375,3380.8386,3512.5737,3623.1492,3778.774,3908.4614
11512.8076171875,11745.155,12092.748,12377.142,12615.066,12825.108
9986.560546875,10241.77,10747.672,11208.404,11838.524,12344.427
6153.48828125,6301.478,6466.626,6629.629,6898.799,7156.1724
4197.15185546875,4325.8374,4596.283,4867.4175,5177.0884,5342.246
4872.4033203125,4877.8145,4906.416,4988.3545,5146.5635,5308.3794
4433.93505859375,4615.628,4840.1787,5023.6826,5286.866,5550.0493
5165.82177734375,5275.8447,5465.4375,5668.783,5954.6465,6187.4624
12748.380859375,13190.772,13839.38,14442.162,15379.822,16137.705
8275.345703125,8391.19,8825.117,9259.043,9863.791,10301.645
2182.960205078125,2258.6726,2394.324,2511.0474,2673.829,2798.7544
6805.6259765625,6941.0693,7109.5586,7253.8457,7480.05,7709.9775
2838.123046875,2933.748,3087.498,3215.748,3392.7478,3535.2478
8551.658203125,8728.136,8926.353,9127.127,9469.85,9825.361
1976.57568359375,2031.389,2058.427,2098.984,2193.1252,2277.189
7692.861328125,7786.3906,8122.9507,8395.439,8760.721,9114.219
9590.0126953125,9832.613,10363.91,10885.502,11518.69,12086.377
3266.446044921875,3294.224,3296.9858,3405.012,3431.9778,3533.7905
11973.0458984375,12391.038,13092.79,13673.902,14305.988,14829.328
3264.05419921875,3344.6177,3472.516,3581.6062,3737.0908,3863.1084
2997.38916015625,3106.2495,3374.5117,3593.3425,3836.6113,4031.0044
3285.68017578125,3376.956,3508.913,3619.6753,3773.5112,3902.7334
5121.24658203125,5300.4644,5586.135,5855.6357,6207.3335,6526.6914
3019.57958984375,3066.5447,3147.633,3221.3828,3317.5146,3403.373
9030.1962890625,9005.153,9145.063,9284.56,9381.007,9455.515
11513.99609375,11821.769,12437.313,12908.169,13457.5,13984.76
2953.567138671875,3020.0403,3168.7822,3308.31,3499.8318,3645.9412
6987.841796875,7107.791,7185.927,7236.6094,7357.4033,7511.9854
9847.4697265625,10122.617,10531.04,10963.108,11560.695,12076.597
14969.7763671875,15583.213,16664.031,17666.953,18898.695,20062.277
13371.154296875,13691.258,14136.505,14536.964,15169.268,15635.592
3278.92724609375,3351.965,3473.2715,3606.01,3781.936,3939.4438
8414.8759765625,8648.654,9154.816,9596.637,10177.866,10654.002
6323.935546875,6477.745,6772.547,7032.741,7374.9673,7663.3604
3095.8330078125,3185.7627,3408.3513,3600.1353,3790.9253,3930.043
2174.8095703125,2211.5823,2217.5444,2312.4766,2318.227,2426.7566
18195.900390625,18526.182,18937.252,19258.03,19697.613,20103.93
3208.27001953125,3284.5735,3360.5469,3433.8777,3538.9192,3611.5894
3527.0009765625,3546.011,3589.3655,3621.0737,3625.582,3622.7268
1141.1876220703125,1157.4332,1163.6631,1173.5708,1158.177,1158.5889
3951.57373046875,4095.999,4275.6987,4450.074,4637.7607,4732.2695
1548.9666748046875,1605.8657,1702.2546,1787.6033,1887.389,1989.7224
1957.958740234375,1970.2289,1979.3439,1996.6389,2030.4111,2064.6506
4046.6591796875,4143.6357,4232.318,4329.9326,4481.139,4661.6943
8697.4248046875,8865.298,9252.699,9583.604,10019.429,10372.932
2227.4736328125,2276.0596,2327.97,2384.7388,2448.6677,2478.8423
11509.03125,11676.415,11960.757,12218.486,12592.473,12879.616
2006.6229248046875,2024.2863,2054.8828,2081.0452,2115.485,2141.2039
1345.3109130859375,1341.6307,1345.3997,1359.7439,1358.9901,1370.5852
2043.537353515625,2051.5715,2061.0835,2070.5576,2082.0022,2087.8381
4581.20263671875,4601.2676,4630.4907,4656.4673,4690.27,4713.249
2228.197998046875,2225.7288,2227.3071,2231.4175,2231.1206,2235.52
9953.4189453125,10042.43,10176.884,10297.817,10461.566,10573.487
8016.72119140625,7985.3633,8317.755,8721.223,9340.014,10506.518
4294.6533203125,4351.8647,4465.421,4634.4546,4908.376,5119.018
5586.13427734375,5589.218,5584.4526,5766.088,5884.3755,6188.783
11223.30078125,11339.953,11511.862,11886.379,12206.866,12744.695
8983.4521484375,9064.779,9244.974,9512.076,9875.653,10267.936
12351.6552734375,12458.88,12749.018,13213.657,13840.186,14327.953
10423.5810546875,10484.48,10668.016,10980.025,11407.162,11842.641
3281.4384765625,3303.6958,3362.1218,3457.8293,3581.3586,3695.9849
5870.8505859375,5966.113,6035.0425,6236.41,6532.265,6972.176
6868.8330078125,6938.6035,6980.79,7147.0293,7237.3027,7496.618
4843.14013671875,4981.309,5076.8525,5397.3994,5392.1206,5732.8584
5213.23974609375,5286.9624,5444.0054,5728.537,5660.1577,5840.6753
8303.6748046875,8408.848,8477.117,8716.982,9089.698,9663.531
5258.0078125,5388.353,5418.687,5670.0674,5713.916,6431.115
11102.4140625,11219.59,11413.289,11768.404,12116.345,12677.115
3424.718505859375,3314.7178,3342.779,3648.088,3716.5576,3979.7744
4956.5634765625,4926.8926,5017.4136,5216.0566,5466.4976,5702.8574
3505.042236328125,3570.799,3601.574,3734.327,3729.7166,3909.7268
9028.837890625,9111.213,9292.758,9559.876,9926.164,10321.244
7311.68701171875,7371.5615,7550.4795,7818.153,8247.839,8640.8955
3018.959716796875,3046.1597,3071.3235,3104.6326,3152.3418,3242.2327
5222.08447265625,5228.7188,5322.1514,5517.3086,5805.8984,6121.0254
4848.87060546875,4987.685,5083.9185,5403.7314,5396.7446,5737.9136
5115.3251953125,5594.7827,6189.8145,7877.9297,8367.973,9798.908
2916.6875,2933.0938,2937.0688,2974.5774,2990.896,3057.369
7715.6259765625,7756.7896,7791.453,7881.363,7992.9375,8172.7563
5163.87548828125,5137.219,5146.8154,5408.755,5562.2935,5877.189
3120.718017578125,3168.7144,3197.2322,3330.352,3378.1333,3542.9995
8830.8076171875,8982.827,9694.815,10337.529,11280.434,12338.795
1480.1490478515625,1495.2631,1517.413,1570.2252,1610.8767,1687.3156
8015.58203125,8199.685,8518.133,8853.166,9345.766,9723.922
10983.6826171875,11151.701,11198.079,11413.005,11275.463,11631.277
1516.36572265625,1532.0625,1550.0312,1584.9362,1641.7339,1706.3801
9778.125,9983.659,10113.83,10531.749,11579.971,12607.641
6828.00634765625,6936.6543,7212.998,7643.879,7541.8105,7795.2944
10473.98046875,10613.531,10917.646,11353.414,11861.59,12448.757
1154.7637939453125,1163.0195,1188.1083,1223.7042,1271.523,1324.0592
9894.7705078125,9997.176,10119.508,10450.525,10708.475,11187.84
4311.5673828125,4168.0845,4180.4536,4494.6323,4599.1523,4923.226
4425.7158203125,4369.778,4371.6426,4395.416,4397.281,4634.7837
4911.5546875,4887.7334,4906.502,5134.2505,5180.089,5394.6636
1163.1348876953125,1173.4999,1190.8356,1228.1741,1262.9667,1316.3073
5039.8779296875,5096.422,5157.8125,5274.9395,5453.457,5745.0625
6364.072265625,6364.0723,6368.363,6400.939,6403.6406,6468.8726
9956.369140625,10048.641,10197.331,10523.184,10823.727,11297.215
7356.32470703125,7388.8037,7407.677,7512.796,7564.587,7704.16
7186.322265625,7294.958,7690.39,7975.449,8356.107,8747.193
7281.71875,7366.5977,7466.138,7601.945,7798.7104,8010.908
3888.060791015625,3938.615,3967.5032,4043.8962,4123.178,4309.0254
3517.65869140625,3541.0588,3599.7512,3710.2312,3936.5615,4142.944
3762.1171875,3946.8064,4151.015,4344.7134,4673.55,4927.3096
6848.2763671875,7162.402,7614.532,8035.118,8700.17,9220.645
2582.564208984375,2632.1301,2643.6326,2681.0647,2634.6226,2694.424
4014.513427734375,4038.962,4066.881,4091.4067,4088.6304,4088.3218
18886.845703125,19406.5,20263.117,20969.523,21927.637,22715.238
14482.791015625,15087.088,15722.89,16441.746,17312.393,17667.525
9008.8193359375,9466.599,9642.494,9786.819,10294.211,11313.503
8758.658203125,9012.52,9556.164,10054.305,10739.249,11268.524
6201.9365234375,6298.0464,6463.3965,6674.2183,6985.283,7246.7437
16342.353515625,16775.916,17586.312,18457.488,19579.887,20544.258
4044.590576171875,4148.2,4331.16,4509.0654,4749.642,4892.1685
3127.4638671875,3247.8633,3494.999,3709.3945,3992.439,4222.677
12004.107421875,12403.941,13010.807,13538.651,14306.714,14910.418
11152.451171875,11542.964,12330.498,12971.59,13791.666,14481.572
10207.4443359375,10246.177,10311.337,10362.979,10402.47,10453.809
9576.5712890625,9609.676,9655.9,9710.805,9793.565,9837.166
9899.6865234375,9931.191,9976.586,10053.655,10008.43,10108.874
8697.9609375,8687.382,8744.177,8836.609,8775.359,8914.007
4494.51513671875,4520.9727,4674.5703,4842.132,5083.1846,5231.638
7215.69921875,7287.5107,7374.263,7453.304,7569.9385,7701.9946
10035.841796875,10343.805,10739.436,11105.845,11663.325,12169.1045
3602.6201171875,3675.1343,3761.9795,3839.9395,3951.1472,4032.5466
1988.414306640625,2003.0144,2012.023,2037.1849,2044.4708,2098.6917
7307.61083984375,7434.4883,7539.965,7670.6636,7737.924,7779.9614
3171.45751953125,3254.501,3344.2961,3425.9893,3550.2173,3642.713
4229.5546875,4297.292,4358.521,4417.3394,4463.623,4502.1924
1138.510009765625,1154.8204,1161.2129,1171.2472,1155.8314,1156.2572
3199.305908203125,3202.7258,3237.6077,3272.1475,3320.7085,3367.3887
2251.710205078125,2277.4705,2279.9375,2284.397,2292.8413,2331.363
12297.40234375,12543.922,13030.27,13474.2295,14043.123,14446.925
6952.77783203125,6942.041,6967.0933,7024.3555,7034.645,7182.2744
2565.654296875,2611.0737,2671.281,2738.8823,2836.059,2924.0815
1976.433837890625,2009.2524,2028.1926,2054.97,2078.8083,2094.3196
10414.4931640625,10629.664,10908.676,11176.652,11580.195,11926.989
4277.88671875,4332.914,4413.124,4502.194,4618.311,4732.5635
9500.5625,9617.047,9959.459,10214.189,10453.558,10723.648
13021.9326171875,13382.723,13847.018,14278.783,14982.619,15517.889
6861.037109375,6969.0986,7237.5815,7472.643,7772.3193,8041.916
1656.19970703125,1700.386,1763.5574,1817.3202,1893.2601,1954.4153
2237.032470703125,2298.1013,2390.328,2472.584,2590.2349,2676.9778
8097.48876953125,8167.791,8216.732,8325.296,8331.38,8622.257
4803.099609375,4988.203,5137.8613,5366.2866,5596.0254,5672.167
3876.866943359375,3873.1382,3927.373,4159.3965,4100.5854,4286.8486
1927.967529296875,1964.2108,2032.2775,2090.6204,2167.8215,2231.4683
1006.2797241210938,990.81683,995.5311,1019.2912,1026.7397,1052.1027
2621.727294921875,2688.1484,2760.3452,2828.3418,2902.3762,2950.6826
2239.2724609375,2317.01,2435.2224,2564.3564,2748.0996,2906.787
6904.27685546875,6876.955,7189.205,7563.9053,8014.717,8346.482
4637.1396484375,4762.328,4954.9263,5172.1343,5474.9414,5727.459
8154.4228515625,8245.491,8361.295,8500.146,8747.492,8877.912
8382.919921875,8524.805,8822.351,9115.764,9482.187,9814.171
3602.357177734375,3674.4634,3761.6748,3839.1958,3950.9175,4031.859
10746.17578125,11000.593,11351.932,11675.001,12179.798,12589.693
4002.78369140625,4168.606,4474.1045,4738.32,5101.615,5387.8486
3095.88427734375,3140.886,3190.4407,3232.816,3292.3516,3339.6296
7617.51904296875,7695.0083,7889.4766,8432.274,8340.256,8555.586
3954.222900390625,3993.6353,4074.4912,4163.473,4276.834,4371.0986
1129.60400390625,1129.3712,1129.9365,1134.3422,1140.1444,1143.1702
10410.7236328125,10627.158,10908.365,11178.514,11581.367,11927.348
8663.890625,8590.561,8760.473,9116.396,9610.038,10051.8125
6822.8076171875,6870.126,7044.414,7214.759,7441.8857,7609.8643
9160.33203125,9269.871,9385.8545,9573.79,9882.004,10197.735
7973.6923828125,8058.89,8077.943,8176.022,8159.785,8443.299
1071.6490478515625,1091.0375,1121.5581,1146.6982,1166.365,1186.5884
4529.96630859375,4530.1934,4545.553,4577.695,4561.367,4573.2964
1750.021240234375,1766.865,1784.3235,1824.3313,1823.4707,1858.8141
7554.2802734375,7588.205,7649.399,7791.405,7803.4336,7950.1694
3270.87109375,3307.3184,3417.8218,3518.5747,3657.8645,3755.8318
2417.70654296875,2432.472,2442.302,2460.425,2450.3523,2479.3167
3802.719482421875,3853.4937,3970.4084,4098.6807,4256.3486,4416.6885
3983.69482421875,4033.8494,4140.881,4248.4287,4370.9717,4494.0317
4803.01025390625,4825.075,4832.6753,4848.503,4827.4233,4836.511
1379.7459716796875,1396.3812,1412.719,1430.5935,1421.257,1452.8308
2023.1165771484375,2038.2511,2101.486,2152.4336,2223.4607,2294.7874
1746.7386474609375,1763.62,1781.0479,1819.9264,1818.5298,1854.4177
2170.55810546875,2185.9062,2217.264,2310.0798,2289.3733,2355.9917
1852.3587646484375,1883.3347,1928.7124,2022.0927,2013.9967,2128.165
8628.4150390625,8704.037,8933.703,9256.73,9660.048,10177.266
2687.861083984375,2698.9263,2706.6716,2737.3625,2719.6003,2755.3286
3498.3701171875,3537.1084,3574.2654,3680.5981,3853.7344,3961.253
4052.73779296875,4082.3884,4109.1924,4139.08,4202.888,4265.273
8754.517578125,8898.033,9009.853,9152.487,9210.598,9254.621
5004.21142578125,5072.035,5125.6187,5177.2705,5206.476,5237.3706
1700.94482421875,1742.016,1765.5988,1810.1145,1845.3562,1851.1857
1568.41455078125,1590.1655,1596.213,1606.8167,1589.9349,1601.7909
1427.767822265625,1426.5254,1425.8396,1433.0487,1437.074,1442.8138
1143.2039794921875,1151.0544,1168.0311,1188.148,1214.5452,1237.3115
6173.74609375,6375.9224,6679.964,6944.3477,7267.829,7539.9893
3755.83837890625,3808.9482,3896.3442,4030.127,4203.574,4366.2646
9848.146484375,10088.359,10434.412,10749.174,11216.715,11590.379
6166.7373046875,6161.608,6157.5474,6274.2456,6315.7383,6478.798
12366.3974609375,12603.889,12897.262,13187.141,13634.184,14028.839
6424.2373046875,6500.037,6627.382,6769.128,7001.8345,7173.143
4171.4169921875,4168.951,4166.309,4213.7744,4226.5923,4279.5923
7979.21484375,8182.699,8297.672,8430.895,8859.763,9376.229
8425.5234375,8570.767,8864.159,9180.791,9583.116,9920.082
971.6344604492188,979.54517,985.1312,999.2872,1001.2475,1036.6874
7770.2763671875,7876.1777,8059.4688,8215.877,8422.791,8601.194
5946.138671875,6025.0034,6150.144,6285.061,6467.5576,6626.591
4050.996826171875,4121.6265,4244.0913,4350.7935,4487.8086,4585.4165
4461.00439453125,4547.7817,4616.918,4741.363,4963.5513,5125.6636
1465.937255859375,1505.7932,1508.9617,1531.9747,1550.652,1698.9028
2367.75,2368.2449,2367.4321,2391.1794,2393.0876,2410.9333
2956.64453125,2986.4683,2998.6973,3010.9263,3017.2903,3039.8765
4862.01611328125,4928.073,5096.6934,5288.781,5535.6265,5730.3213
12629.384765625,12697.794,12931.712,13168.939,13518.713,13759.25
1964.7174072265625,1968.0559,1965.2559,1989.4331,2002.0333,2059.1516
5109.6015625,5141.721,5134.7764,5165.739,5249.3657,5383.053
2378.8076171875,2395.6338,2450.5173,2494.5596,2547.8618,2600.7126
2228.2021484375,2241.3865,2248.3599,2263.5054,2293.9053,2325.7214
3563.4072265625,3598.561,3613.5356,3633.6238,3635.8152,3654.4421
1600.72802734375,1643.7262,1647.5524,1673.0598,1689.4575,1852.523
1174.1370849609375,1181.0961,1187.2892,1194.8806,1207.9329,1231.2401
1509.435546875,1497.4319,1502.15,1526.7126,1528.1697,1545.6549
12092.9404296875,12159.932,12416.517,12674.366,13043.445,13320.254
1802.581787109375,1818.7982,1838.7833,1865.1636,1912.8994,1935.968
2716.0673828125,2668.233,2689.1262,2756.479,2770.2246,2852.0103
1548.415283203125,1559.9423,1571.6372,1584.675,1599.7832,1606.6099
5927.35888671875,5960.4814,6021.607,6085.744,6164.033,6236.3
1067.001953125,1066.123,1064.4192,1088.3,1092.8735,1121.8657
7713.68408203125,7654.4365,7632.2373,7736.4834,7795.731,7938.7695
5351.57373046875,5475.329,5645.9614,5791.2803,5998.4766,6168.1714
4378.6337890625,4478.763,4632.642,4774.8174,4943.8677,5043.564
1517.1256103515625,1537.3943,1564.7202,1588.0251,1617.4025,1639.8867
1329.1370849609375,1334.9417,1344.253,1352.3794,1363.3113,1371.0991
2643.988525390625,2672.0515,2710.7134,2746.6052,2794.3003,2824.17
2251.180419921875,2295.2642,2371.359,2436.4785,2524.646,2590.497
19594.009765625,20140.79,21414.79,22573.963,24132.287,25357.074
10741.0966796875,11195.762,12258.146,13203.489,14409.927,15490.318
18511.83984375,19110.49,20054.42,20849.309,21832.982,22543.414
2089.461181640625,2189.2812,2233.8438,2290.7056,2245.9648,2360.045
3649.73291015625,3736.5718,3873.4536,4008.128,4206.827,4354.748
8457.25,8691.611,9152.074,9562.981,10130.817,10558.242
5882.744140625,6248.152,6790.7686,7227.61,7755.116,8197.452
6634.25244140625,6777.7866,6970.2344,7207.587,7658.2354,8020.6787
2416.09326171875,2468.8271,2573.3574,2662.4194,2773.0435,2851.793
3737.07080078125,3858.3027,4048.8794,4207.9355,4407.726,4562.9033
1795.0400390625,1887.2737,2055.2158,2182.037,2258.8984,2365.7358
10382.2626953125,10544.703,10875.955,11221.539,11681.787,12052.853
4500.50927734375,4674.3896,5037.2705,5345.7188,5741.864,6077.5283
3145.0732421875,3270.3567,3520.9236,3725.361,3988.5088,4207.624
2503.4052734375,2569.029,2686.8003,2810.431,2975.0764,3114.527
13208.529296875,13837.529,15265.359,16611.42,18334.879,19831.9
19159.8828125,19732.459,20740.586,21577.43,22463.21,23148.346
4162.3056640625,4245.0293,4415.541,4600.4023,4840.1313,5037.655
5061.47216796875,5182.234,5438.3945,5647.505,5915.167,6138.915
9800.01171875,10009.183,10656.185,11196.652,11880.031,12425.695
7962.1748046875,8243.805,8820.224,9383.483,10091.506,10712.67
9751.46875,9928.416,10532.115,10971.59,11408.752,11952.3125
2025.67578125,2067.9358,2128.0967,2182.7212,2276.8376,2353.2383
5620.98828125,5862.921,6293.791,6784.568,7418.2,7971.188
8633.0166015625,8752.395,9146.506,9498.1,9946.177,10315.759
3349.10693359375,3485.9526,3763.2449,4008.1265,4335.8354,4604.725
9820.3642578125,10040.207,10687.852,11359.263,12238.634,12910.045
3690.083984375,3825.3643,4027.706,4204.6104,4458.9834,4648.6064
10681.994140625,11475.426,13028.669,14245.713,15388.791,16484.803
2191.33984375,2294.0647,2449.7085,2600.683,2803.798,2990.5708
15338.357421875,15613.104,16054.659,16456.965,16847.006,17080.049
1296.561279296875,1352.7327,1444.0114,1828.4347,1802.1042,2146.1545
